Season,Team,Goals,Opponent,Opponent Goals,Shots,Opponent Shots,Shots on Target,Opponent Shots on Target,Corners,Opponent Corners,Fouls Commited,Opponent Fouls Commited,Yellow Cards,Opponent Yellow Cards,Red Cards,Opponent Red Cards,position,played,won,drawn,lost,gf,ga,gd,points,Win Rate,Draw Rate,Loss Rate,Total Wins Last N,Total Losses Last N,Total Draws Last N,Recent Goals Scored,Recent Goals Conceded,Average Goals Scored,Average Goals Conceded
2014,17,3,22,2,14,13,6,5,3,8,10,16,2,3,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,17.0,6.0,3.4,1.2
2014,17,3,9,3,26,10,9,6,7,7,12,7,3,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,17.0,9.0,3.4,1.8
2014,17,0,21,1,6,14,3,3,2,7,8,13,3,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,14.0,10.0,2.8,2.0
2014,17,3,16,1,11,20,3,4,4,7,10,11,2,1,0,1,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,11.0,8.0,2.2,1.6
2014,28,0,11,1,20,5,3,1,6,1,14,14,0,3,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,114.0,44.0,32.0,9.0,8.0,1.8,1.6
2014,28,1,1,3,17,14,2,6,6,7,12,10,1,2,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,98.0,58.0,34.0,7.0,9.0,1.4,1.8
2014,28,1,17,3,23,15,5,6,10,8,8,10,2,1,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,82.0,72.0,36.0,5.0,9.0,1.0,1.8
2014,28,0,2,1,17,13,1,5,10,2,8,11,4,3,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,4.0,5.0,0.8,1.0
2014,28,0,9,0,19,12,2,5,6,2,16,14,4,4,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,3.0,3.0,0.6,0.6
2014,28,1,9,3,10,17,2,6,6,6,6,6,0,1,1,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,8.0,9.0,1.6,1.8
2014,28,0,2,0,7,13,1,4,6,7,12,14,1,2,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,1.0,12.0,0.2,2.4
2014,28,1,10,0,13,26,6,9,2,11,7,11,0,1,0,1,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,1.0,6.0,0.2,1.2
2014,28,1,1,4,7,12,3,9,3,7,11,10,1,0,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,7.0,6.0,1.4,1.2
2014,28,1,17,2,12,21,4,7,4,3,15,5,2,0,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,7.0,10.0,1.4,2.0
2014,28,2,8,1,7,31,3,15,4,10,14,11,2,1,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,6.0,12.0,1.2,2.4
2014,28,3,9,1,8,9,7,1,2,11,19,12,3,0,0,1,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,9.0,9.0,1.8,1.8
2014,28,0,17,0,7,15,1,2,7,5,15,12,3,1,0,0,14,38,10,8,20,41,60,-19,38,0.2631578947,0.2105263158,0.5263157895,50.0,100.0,40.0,8.0,4.0,1.6,0.8
2014,32,2,2,2,11,15,4,7,4,2,9,14,1,2,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,41.0,88.0,61.0,8.0,4.0,1.6,0.8
2014,32,1,10,1,14,13,6,4,4,2,16,12,3,2,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,8.0,4.0,1.6,0.8
2014,32,1,17,1,12,12,4,3,3,4,13,15,4,2,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,6.0,5.0,1.2,1.0
2014,32,1,11,1,16,7,5,3,8,2,13,15,3,3,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,5.0,4.0,1.0,0.8
2014,32,0,10,0,7,22,2,8,1,11,15,14,1,1,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,6.0,6.0,1.2,1.2
2014,32,1,11,1,12,12,4,2,5,4,12,9,1,0,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,6.0,6.0,1.2,1.2
2014,32,1,17,4,15,18,3,7,9,3,11,14,2,0,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,4.0,6.0,0.8,1.2
2014,32,2,8,2,11,17,3,7,4,9,15,11,7,3,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,6.0,8.0,1.2,1.6
2014,32,3,2,4,12,10,4,6,3,3,10,15,3,1,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,8.0,11.0,1.6,2.2
2014,32,0,1,1,11,15,1,4,10,9,6,9,2,2,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,4.0,7.0,0.8,1.4
2014,32,1,17,2,8,19,4,7,5,5,15,12,2,2,0,0,17,38,7,15,16,43,59,-16,36,0.1842105263,0.3947368421,0.4210526316,35.0,80.0,75.0,3.0,8.0,0.6,1.6
2014,33,2,10,3,9,10,1,4,5,5,16,12,2,1,1,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,47.0,92.0,51.0,5.0,4.0,1.0,0.8
2014,33,0,8,3,8,20,1,8,8,4,12,10,0,0,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,5.0,10.0,1.0,2.0
2014,33,3,11,0,23,10,12,0,6,3,11,8,3,2,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,6.0,10.0,1.2,2.0
2014,33,1,1,3,12,29,5,8,0,10,11,6,1,1,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,5.0,9.0,1.0,1.8
2014,33,1,17,2,11,17,1,8,4,4,10,9,4,0,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,8.0,6.0,1.6,1.2
2014,33,0,9,1,13,11,4,3,3,11,7,16,1,1,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,6.0,7.0,1.2,1.4
2014,33,1,11,2,11,30,3,11,4,12,5,6,1,2,1,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,3.0,9.0,0.6,1.8
2014,33,0,8,0,1,39,1,9,3,13,11,12,3,1,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,3.0,8.0,0.6,1.6
2014,33,0,10,1,6,22,1,3,5,11,8,9,1,1,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,3.0,9.0,0.6,1.8
2014,33,1,1,3,12,14,2,8,3,4,12,14,2,2,0,0,13,38,11,7,20,40,51,-11,40,0.2894736842,0.1842105263,0.5263157895,55.0,100.0,35.0,4.0,8.0,0.8,1.6
2014,8,2,13,0,22,7,5,2,5,1,7,16,0,1,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,69.0,86.0,35.0,7.0,7.0,1.4,1.4
2014,8,2,2,1,15,7,3,3,1,2,12,13,1,4,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,83.0,72.0,35.0,8.0,5.0,1.6,1.0
2014,8,2,11,0,26,4,10,1,13,3,11,9,0,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,97.0,58.0,35.0,10.0,4.0,2.0,0.8
2014,8,4,7,1,20,13,7,3,6,9,12,5,1,2,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,111.0,44.0,35.0,12.0,3.0,2.4,0.6
2014,8,2,19,1,12,15,4,6,3,6,11,15,2,3,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,12.0,3.0,2.4,0.6
2014,8,2,32,2,17,11,7,3,9,4,11,15,3,7,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,12.0,5.0,2.4,1.0
2014,8,2,9,1,16,10,7,5,3,1,13,7,2,1,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,12.0,5.0,2.4,1.0
2014,8,1,29,0,19,8,7,1,13,7,14,9,1,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,11.0,5.0,2.2,1.0
2014,8,2,17,1,11,8,5,4,4,2,17,17,4,1,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,9.0,5.0,1.8,1.0
2014,8,3,20,1,13,10,6,4,5,4,15,21,1,3,0,1,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,10.0,5.0,2.0,1.0
2014,8,0,33,0,39,1,9,1,13,3,12,11,1,3,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,8.0,3.0,1.6,0.6
2014,8,1,10,0,25,8,8,2,8,8,15,12,1,2,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,7.0,2.0,1.4,0.4
2014,8,6,1,0,21,12,11,5,7,1,14,8,0,1,0,1,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,12.0,2.0,2.4,0.4
2014,8,3,27,0,18,4,8,2,7,3,8,18,0,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,13.0,1.0,2.6,0.2
2014,8,1,28,2,31,7,15,3,10,4,11,14,1,2,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,11.0,2.0,2.2,0.4
2014,8,0,22,0,23,6,4,3,5,2,9,17,1,3,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,11.0,2.0,2.2,0.4
2014,8,2,1,0,5,10,3,0,2,2,14,10,4,3,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,12.0,2.0,2.4,0.4
2014,8,2,24,1,18,7,8,1,13,2,8,12,0,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,8.0,3.0,1.6,0.6
2014,8,3,30,0,12,10,8,2,1,6,9,9,1,1,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,8.0,3.0,1.6,0.6
2014,8,0,20,0,8,13,4,3,1,4,9,9,2,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,7.0,1.0,1.4,0.2
2014,8,0,10,1,22,11,5,5,7,5,12,10,4,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,7.0,2.0,1.4,0.4
2014,8,1,30,1,11,12,5,4,5,4,14,14,1,5,1,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,6.0,3.0,1.2,0.6
2014,8,3,33,0,20,8,8,1,4,8,10,12,0,0,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,7.0,2.0,1.4,0.4
2014,8,0,1,0,13,7,4,2,6,8,11,7,1,2,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,4.0,2.0,0.8,0.4
2014,8,3,26,0,11,12,5,2,8,6,10,13,1,4,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,7.0,2.0,1.4,0.4
2014,8,1,19,0,18,25,6,3,6,12,13,11,3,3,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,8.0,1.0,1.6,0.2
2014,8,3,11,1,17,7,8,3,4,5,13,14,1,2,0,0,3,38,25,7,6,71,27,44,82,0.6578947368,0.1842105263,0.1578947368,125.0,30.0,35.0,10.0,1.0,2.0,0.2
